number,created_at,closed_at,merged_at,user,state,comments
6181,2026-04-01 16:47:19+00:00,2026-04-01 16:55:00+00:00,2026-04-01 16:55:00+00:00,jonchurch,closed,0
6180,2026-04-01 16:43:48+00:00,2026-04-01 16:55:11+00:00,2026-04-01 16:55:11+00:00,jonchurch,closed,0
6179,2026-04-01 16:41:29+00:00,2026-04-01 16:55:20+00:00,2026-04-01 16:55:20+00:00,jonchurch,closed,0
6178,2026-04-01 16:06:17+00:00,2026-04-01 16:55:28+00:00,2026-04-01 16:55:28+00:00,jonchurch,closed,0
6177,2026-04-01 15:53:33+00:00,2026-04-01 16:10:13+00:00,2026-04-01 16:10:13+00:00,jonchurch,closed,0
6173,2026-03-31 21:05:14+00:00,2026-04-01 16:27:36+00:00,2026-04-01 16:27:36+00:00,jonchurch,closed,0
6172,2026-03-31 20:56:44+00:00,2026-04-01 16:45:02+00:00,2026-04-01 16:45:02+00:00,jonchurch,closed,0
6171,2026-03-31 20:55:59+00:00,2026-04-01 16:37:21+00:00,2026-04-01 16:37:21+00:00,jonchurch,closed,0
6170,2026-03-31 20:44:19+00:00,2026-03-31 21:03:58+00:00,2026-03-31 21:03:58+00:00,falsyvalues,closed,0
6166,2026-03-31 18:09:08+00:00,2026-03-31 18:10:47+00:00,2026-03-31 18:10:47+00:00,jonchurch,closed,0
6165,2026-03-31 18:00:23+00:00,2026-03-31 18:10:57+00:00,2026-03-31 18:10:57+00:00,jdalton,closed,0
6164,2026-03-31 04:18:14+00:00,2026-03-31 17:54:36+00:00,2026-03-31 17:54:36+00:00,jonchurch,closed,0
6163,2026-03-31 03:55:39+00:00,2026-03-31 17:55:20+00:00,2026-03-31 17:55:20+00:00,jonchurch,closed,0
6162,2026-03-31 03:47:24+00:00,2026-03-31 17:54:23+00:00,2026-03-31 17:54:23+00:00,jonchurch,closed,0
6161,2026-03-31 03:23:34+00:00,2026-03-31 17:46:57+00:00,2026-03-31 17:46:57+00:00,jonchurch,closed,0
6160,2026-03-31 02:05:39+00:00,2026-03-31 17:33:01+00:00,,jonchurch,closed,5
6159,2026-03-30 22:13:12+00:00,2026-03-31 03:32:48+00:00,2026-03-31 03:32:48+00:00,falsyvalues,closed,0
6158,2026-03-30 18:43:48+00:00,,,ayushshukla1807,open,0
