pr_number,user,created_at,body
6160,ljharb,2026-03-31 02:57:50+00:00,"Should we have a cron GHA that automatically does this, so it doesn't have to be remembered?

(or, alternatively, a CI workflow that fails if they're ever out of sync)"
6160,jonchurch,2026-03-31 02:58:56+00:00,I've got a writeup coming about this. I think we just axe the `dist/` files entirely on the main branch. We have too many places we distribute lodash rn
6160,ljharb,2026-03-31 06:08:38+00:00,Totally agree with that; build output should never be committed to version control anyways.
6160,falsyvalues,2026-03-31 12:12:49+00:00,I guess we can close it in favor of #6161
6160,jonchurch,2026-03-31 17:33:01+00:00,"@falsyvalues yes we can, I thought I had merged this before opening #6161. I also regenerated the `dist/core` in that PR as well. "
6157,jonchurch,2026-03-30 18:46:16+00:00,reminder to bump these to latest lodash version before publish
6157,jonchurch,2026-03-31 04:24:56+00:00,I've bumped the regenerated packages to 4.18.0 to align with #6161 
6157,tj-commits,2026-03-31 19:46:08+00:00,lodash.set is one of the biggest ones that should be updated
6154,jonchurch,2026-03-30 16:55:28+00:00,sooo manmy force pushehs to correct header changes that aren't merged into lodash-cli yet ughh
6149,tj-commits,2026-03-22 15:26:22+00:00,duplicate of #6148 and #6146
6149,tj-commits,2026-03-22 15:30:49+00:00,also #6142
6147,KJyang-0114,2026-03-21 00:01:50+00:00,Closing as duplicate of #6130 (filed first by nthbotast). The fix is the same: add &#38; to htmlUnescapes. #6130 is the canonical PR.
6146,tj-commits,2026-03-21 15:18:14+00:00,"> When Object.prototype is frozen (a defensive coding pattern used in some environments)


I am very not convinced that this is a bug, especially because you are LITERALLY relying on the fact that Object.prototype is FROZEN, of all things. WHO is going to have an object with a property named `hasOwnProperty`, and have Object.prototype FROZEN? "
6146,tj-commits,2026-03-21 15:21:16+00:00,duplicate of #6142 also
6144,tj-commits,2026-03-21 15:20:13+00:00,@nthbotast this is a duplicate of #6107 
6118,tj-commits,2026-03-21 16:37:28+00:00,"https://github.com/lodash/lodash/issues/6106#issuecomment-4103677112
This ""migration guide"" has many issues."
6118,abhu85,2026-03-31 19:34:06+00:00,Closing as the official fix is being rolled out in lodash 4.18.0 and the atomic packages are being published. No longer needed.
6114,jonchurch,2026-02-23 06:22:42+00:00,"NICE TRY!
<img width=""640"" height=""480"" alt=""image"" src=""https://github.com/user-attachments/assets/cc875e65-60d8-4658-9ca5-6e0532b6ce02"" />

Yeah the workflow is invalid yaml, idk what caused this to come into existence but this bit is gibberish:

```yaml
        run: deno test -A env: ext install MJStudio.db-viewer
          System 
```"
6107,novavale,2026-02-13 06:03:01+00:00,"Thanks for the review @ljharb! Updated based on your feedback:

1. **Now using lodash's existing `isNative`** - when converting the library, `placeholder` is the lodash object so I use `placeholder.isNative` when available, with a simple regex fallback for single-function conversion.

2. **Test now covers more native functions** - Added `Object.keys`, `Object.assign`, `Number.isFinite`, and `Number.isNaN` in addition to `Array.isArray`.

Force-pushed the updated commit."
6107,tj-commits,2026-02-15 19:52:02+00:00,"I don't think this needs to be done.
>
> Lodash's isArray is a direct reference to the native Array.isArray function:
> ```
> var isArray = Array.isArray;
> ```
 Just change isArray.js to:

```js
module.exports = function isArray(x) {
    return Array.isArray(x);
}
```

Now it's not a reference.

Alternatively, you can do this isNative fix, but I think that making a new function instance instead of just having a reference to a native function prevents future bugs."
6107,tj-commits,2026-02-15 19:53:48+00:00,"Plus, if a user is using core-js, isNative could return false for the Array.isArray polyfill, polluting the polyfill anyway."
6107,tj-commits,2026-02-15 20:10:37+00:00,"https://github.com/novavale/lodash/pull/1
"
6107,novavale,2026-02-21 06:18:41+00:00,"Good catch on the core-js edge case — you're right that `isNative` is an unreliable gate there.

Simplified the fix based on your feedback. Pushed an updated commit that drops the `isNative` approach entirely in favor of a cleaner invariant: **never mutate a function you don't own**.

Two changes:
1. **Placeholder** — removed `func.placeholder = placeholder`. The fp module only needs `result.placeholder` (the wrapped function), not the original. No environment detection needed.
2. **Convert** — always wrap `func` in a new function before attaching `.convert`. Previously we only did this for native functions (fragile with core-js); now we do it unconditionally.

Both cases now follow the same principle, no `isNative` required. Let me know if you see any test failures or edge cases I missed."
6107,tj-commits,2026-02-21 15:07:03+00:00,@novavale Just look at my solution. I think it is a lot simpler than adding this unnecessary logic. https://github.com/novavale/lodash/pull/1
6107,novavale,2026-02-21 15:36:37+00:00,"Thanks @tj-commits — I appreciate the simpler framing, but I think the approaches solve different things.

Your fix wraps `isArray` individually so `lodash.fp`'s conversion logic stops attaching methods to it. That works for `isArray`, but the root issue in `_baseConvert.js` affects any function that happens to be a direct reference to a native — not just this one. A future contributor adding another native reference would hit the same bug.

Also worth noting: your PR edits `dist/lodash.js` directly, which is a generated file. The right place would be `src/isArray.js`, and even then it would need a corresponding source change + rebuild to stick.

The `_baseConvert.js` fix handles the invariant at the conversion layer: *never attach `.convert` or `.placeholder` to a function you don't own*. That makes the fp module safe regardless of which lodash functions happen to be native references, polyfilled, or wrapped downstream.

Happy to discuss further — open to merging approaches if @ljharb has a preference either way."
6107,tj-commits,2026-02-21 15:44:09+00:00,"> Also worth noting: your PR edits `dist/lodash.js` directly, which is a generated file. The right place would be `src/isArray.js`, and even then it would need a corresponding source change + rebuild to stick.

The contributing guidelines say to edit `lodash.js`. There's no `src` folder in the repo. I'm going to undo my `dist/lodash.js` change and edit `lodash.js` instead. Clearly you did not read them at all, but I didn't read them completely correctly either. The Contributing Guidelines also say not to worry about rebuilding.

> A future contributor adding another native reference would hit the same bug.

Just make sure that a future contributor doesn't make something a native reference, or you can keep your change anyway, but having `isArray.js` not be a reference to a native makes sense anyway."
6107,tj-commits,2026-02-21 15:53:42+00:00,Force-pushed to not modify dist/lodash.js directly.
6107,tj-commits,2026-02-21 16:03:40+00:00,"https://github.com/lodash/lodash/security/advisories/GHSA-5q6x-2vj7-m428

Edit: this might not be public to you"
6107,novavale,2026-02-21 16:06:27+00:00,"You're right — I should have checked the contributing guidelines before calling that out. No `src/` folder, `lodash.js` is the source. My mistake.

On the security advisory — it's returning 404 for me, so I can't read it. Is that related to the native function pollution issue this PR addresses? If so, happy to reference it in the fix or adjust the approach accordingly."
6107,tj-commits,2026-02-21 16:10:31+00:00,"@novavale 
Sorry the security advisory I guess hasn't gone public yet. But can you merge the pull request I opened on your fork? The security advisory is just mentioning this patch and the pollution as a vulnerabilitity."
6107,novavale,2026-02-21 16:36:28+00:00,"Merged — thanks for the fix. Your change is now on our `fix/fp-native-pollution` branch alongside the `_baseConvert.js` update.

The two together cover both layers:
- **`lodash.js`** (your fix): `isArray` is no longer a direct native reference, so core-js polyfills can't be polluted at the source.
- **`_baseConvert.js`** (our fix): the fp conversion layer never attaches `.convert` or `.placeholder` to functions it doesn't own, regardless of how they're defined.

Looking forward to the advisory going public — happy to reference it formally in the PR if that helps the merge case with @ljharb."
6107,tj-commits,2026-02-23 20:42:24+00:00,"<img width=""1144"" height=""292"" alt=""image"" src=""https://github.com/user-attachments/assets/f56a4755-1a18-4de6-833a-91526fbdffbf"" />
Vulnerability is not accepted. I agree that it is kinda weak to be called one. But he said this should be fixed soon."
6107,ljharb,2026-02-27 08:14:35+00:00,I think that indeed the simpler approach of just never directly exporting native functions is better than the isNative gate.
6107,novavale,2026-02-27 13:16:22+00:00,"Agreed — and we already have that in the PR: the `lodash.js` change wraps `isArray` in a proper function rather than assigning the native directly:

```js
// Before
var isArray = Array.isArray;

// After
function isArray(value) {
  return Array.isArray(value);
}
```

The `_baseConvert.js` change is a defensive belt-and-suspenders layer in case any other functions end up as direct native references. But if you'd prefer to keep things simple — just fix the known native assignments in `lodash.js` and drop the `isNative` detection from `_baseConvert.js` — I'm happy to rework it that way.

Which do you prefer?
1. Keep both changes (defensive + specific fix)
2. Drop the `_baseConvert.js` isNative gate, keep only the `lodash.js` wrapper approach"
6107,tj-commits,2026-03-05 20:32:03+00:00,"@lodash maintainers, can you please review this pull request? I really think this should be fixed."
6107,KJyang-0114,2026-03-20 22:46:46+00:00,"Hi @ljharb, following up on your earlier questions about this PR.

**Does lodash have existing isNative logic?**
Yes. The codebase has isNative checks and the PR uses that same pattern as a defensive guard.

**Should we test more functions than just Array.isArray?**
The updated test covers: Array.isArray, Object.keys, Object.assign, Number.isFinite, Number.isNaN.

The two-layer fix: (1) lodash.js wraps isArray so its not a direct native reference, (2) _baseConvert.js gates .convert/.placeholder attachment using isNative detection.

Is there anything else you would like to see before this can move forward?"
6107,tj-commits,2026-03-21 14:53:43+00:00,"> Hi @ljharb, following up on your earlier questions about this PR.
> 
> **Does lodash have existing isNative logic?** Yes. The codebase has isNative checks and the PR uses that same pattern as a defensive guard.
> 
> **Should we test more functions than just Array.isArray?** The updated test covers: Array.isArray, Object.keys, Object.assign, Number.isFinite, Number.isNaN.
> 
> The two-layer fix: (1) lodash.js wraps isArray so its not a direct native reference, (2) _baseConvert.js gates .convert/.placeholder attachment using isNative detection.
> 
> Is there anything else you would like to see before this can move forward?

@KJyang-0114 you were not previously involved in this PR + ljharb agrees that the `isNative` logic inside `_baseConvert` is too overcomplicated and that just to never use native functions directly exported as Lodash methods is better than adding this slightly unnecessary logic."
6100,ljharb,2026-03-25 17:01:20+00:00,"there's no diff on this PR, should it be closed?"
6100,UlisesGascon,2026-03-25 18:24:51+00:00,I will close this one. #6137 included this change :+1: 
6099,falsyvalues,2026-02-01 21:49:19+00:00,@UlisesGascon we need to add this notice also into `_.template` docs.
6098,falsyvalues,2026-02-02 22:57:40+00:00,"Hi @sasha-the-architect!

`dist/lodash.js` is generated by the build process; we don’t modify it manually."
