number,created_at,closed_at,merged_at,user,state,comments
4105,2026-04-28 18:50:20+00:00,,,souhil25,open,0
4104,2026-04-28 11:43:22+00:00,,,thomass-dev,open,0
4103,2026-04-27 02:38:28+00:00,2026-04-27 02:41:45+00:00,,ShipItAndPray,closed,1
4102,2026-04-25 13:13:51+00:00,2026-04-25 13:24:38+00:00,,BiniamGirmay,closed,0
4101,2026-04-25 13:05:45+00:00,2026-04-25 13:24:48+00:00,,BiniamGirmay,closed,0
4100,2026-04-25 12:12:47+00:00,2026-04-25 12:38:46+00:00,,BiniamGirmay,closed,0
4099,2026-04-24 10:13:54+00:00,2026-04-24 10:21:23+00:00,,Alm0stSurely,closed,1
4096,2026-04-24 04:53:52+00:00,,,Ironsing,open,0
4095,2026-04-23 20:44:51+00:00,,,lwhelton,open,0
4094,2026-04-23 20:41:47+00:00,,,lwhelton,open,0
4092,2026-04-23 03:18:37+00:00,2026-04-23 04:41:50+00:00,,rudi193-cmd,closed,1
4091,2026-04-22 15:12:59+00:00,,,armorbreak001,open,1
4088,2026-04-22 01:15:19+00:00,,,kanchanthapa,open,0
4087,2026-04-21 18:13:48+00:00,,,SpecLad,open,0
4084,2026-04-19 02:28:17+00:00,,,kmvanbrunt,open,2
4083,2026-04-18 16:09:21+00:00,2026-04-18 17:32:37+00:00,,hummbl-dev,closed,0
4082,2026-04-16 14:42:30+00:00,,,traylenator,open,0
4081,2026-04-13 04:15:54+00:00,2026-04-13 05:19:19+00:00,,orbisai0security,closed,1
4080,2026-04-12 08:15:25+00:00,2026-04-12 08:22:43+00:00,2026-04-12 08:22:43+00:00,willmcgugan,closed,1
4079,2026-04-12 07:40:33+00:00,2026-04-12 07:45:03+00:00,2026-04-12 07:45:03+00:00,willmcgugan,closed,1
4078,2026-04-12 07:03:04+00:00,2026-04-12 07:28:53+00:00,,DORI2001,closed,1
4077,2026-04-12 04:06:31+00:00,2026-04-12 04:11:19+00:00,2026-04-12 04:11:19+00:00,willmcgugan,closed,2
4076,2026-04-11 10:33:23+00:00,2026-04-12 03:59:42+00:00,2026-04-12 03:59:42+00:00,willmcgugan,closed,1
4075,2026-04-11 09:22:52+00:00,2026-04-11 09:34:48+00:00,2026-04-11 09:34:48+00:00,willmcgugan,closed,1
4074,2026-04-11 08:47:25+00:00,2026-04-12 09:32:52+00:00,,shacha13,closed,0
4073,2026-04-11 02:50:26+00:00,2026-04-11 02:55:59+00:00,2026-04-11 02:55:59+00:00,willmcgugan,closed,1
4072,2026-04-10 20:45:37+00:00,,,Jackenmen,open,2
4070,2026-04-09 04:39:42+00:00,2026-04-11 02:38:58+00:00,2026-04-11 02:38:58+00:00,KRRT7,closed,1
4067,2026-04-07 10:24:59+00:00,2026-04-07 11:26:07+00:00,,thakoreh,closed,1
4066,2026-04-07 06:24:48+00:00,2026-04-07 08:13:00+00:00,,thakoreh,closed,1
4063,2026-04-05 15:46:49+00:00,2026-04-05 15:57:18+00:00,,monsonego,closed,1
4062,2026-04-05 15:41:53+00:00,2026-04-05 15:55:58+00:00,,monsonego,closed,1
4059,2026-04-04 23:22:56+00:00,,,otaoi,open,0
4058,2026-04-04 12:25:12+00:00,2026-04-04 13:15:03+00:00,,Bahtya,closed,1
4057,2026-04-03 07:57:52+00:00,,,justDance-everybody,open,0
4056,2026-04-03 07:12:15+00:00,,,justDance-everybody,open,0
4054,2026-04-02 04:25:22+00:00,2026-04-03 09:21:03+00:00,,Andrew-most-likely,closed,1
4052,2026-04-01 19:09:04+00:00,2026-04-01 21:19:26+00:00,,mastash3ff,closed,1
4026,2026-02-26 09:52:01+00:00,2026-02-26 09:52:14+00:00,2026-02-26 09:52:14+00:00,willmcgugan,closed,1
4025,2026-02-26 08:56:07+00:00,2026-02-26 17:27:02+00:00,,davidbrochart,closed,5
4024,2026-02-26 03:21:20+00:00,2026-02-26 09:52:50+00:00,,rstar327,closed,1
4023,2026-02-26 03:07:47+00:00,2026-02-26 09:50:30+00:00,,haosenwang1018,closed,1
4022,2026-02-25 19:09:29+00:00,2026-02-25 20:43:48+00:00,,N1chegons,closed,1
4021,2026-02-25 13:51:53+00:00,2026-02-25 14:29:50+00:00,,cobyfrombrooklyn-bot,closed,1
4019,2026-02-24 13:57:25+00:00,,,DonthaNagaTarun,open,0
4018,2026-02-24 07:37:51+00:00,2026-02-24 09:22:37+00:00,,DhyeyTeraiya,closed,2
4017,2026-02-24 07:03:11+00:00,2026-03-06 15:49:51+00:00,,Kaztral-ar,closed,1
4014,2026-02-23 17:36:48+00:00,,,finite-state-machine,open,0
4013,2026-02-22 18:04:24+00:00,,,DonthaNagaTarun,open,0
4012,2026-02-22 10:14:20+00:00,2026-02-22 12:18:04+00:00,,worksbyfriday,closed,0
4010,2026-02-20 01:36:04+00:00,,,bysiber,open,2
4009,2026-02-20 01:35:15+00:00,2026-02-20 20:16:32+00:00,,bysiber,closed,1
4008,2026-02-19 17:11:52+00:00,2026-02-19 17:21:34+00:00,2026-02-19 17:21:34+00:00,willmcgugan,closed,1
4007,2026-02-19 16:50:18+00:00,2026-02-19 17:06:35+00:00,2026-02-19 17:06:35+00:00,Copilot,closed,1
4006,2026-02-19 14:02:49+00:00,2026-02-19 17:04:17+00:00,2026-02-19 17:04:17+00:00,willmcgugan,closed,3
4004,2026-02-19 00:21:19+00:00,2026-02-19 00:21:27+00:00,,louisazhangg,closed,0
4003,2026-02-18 23:49:35+00:00,2026-02-19 00:16:20+00:00,,louisazhangg,closed,1
4002,2026-02-18 23:18:15+00:00,2026-02-19 17:05:34+00:00,,jmw182,closed,4
4001,2026-02-18 22:04:22+00:00,2026-02-18 22:05:36+00:00,,e-regis19,closed,0
4000,2026-02-18 19:42:40+00:00,2026-02-18 19:42:44+00:00,,eSirborg,closed,0
3999,2026-02-18 17:51:28+00:00,2026-02-18 17:53:29+00:00,,eSirborg,closed,0
3998,2026-02-18 17:49:44+00:00,2026-02-18 17:50:25+00:00,,eSirborg,closed,0
3997,2026-02-18 14:10:26+00:00,,,ehongon,open,0
3996,2026-02-18 13:49:23+00:00,,,ehongon,open,0
3995,2026-02-17 19:42:38+00:00,2026-02-17 19:45:12+00:00,,worksbyfriday,closed,6
3994,2026-02-17 19:34:22+00:00,2026-02-17 19:45:10+00:00,,worksbyfriday,closed,1
3993,2026-02-17 19:23:56+00:00,2026-02-17 19:45:08+00:00,,worksbyfriday,closed,2
3992,2026-02-17 19:19:56+00:00,2026-02-17 19:45:07+00:00,,worksbyfriday,closed,1
3991,2026-02-17 19:18:05+00:00,2026-02-17 19:45:05+00:00,,worksbyfriday,closed,1
3990,2026-02-17 19:13:29+00:00,2026-02-17 19:45:03+00:00,,worksbyfriday,closed,1
3989,2026-02-17 19:02:48+00:00,2026-02-17 19:45:02+00:00,,worksbyfriday,closed,1
3988,2026-02-17 19:00:57+00:00,2026-02-17 19:45:00+00:00,,worksbyfriday,closed,1
3987,2026-02-17 18:56:50+00:00,2026-02-17 19:44:58+00:00,,worksbyfriday,closed,1
3986,2026-02-17 18:54:41+00:00,2026-02-17 19:44:57+00:00,,worksbyfriday,closed,1
3985,2026-02-17 18:47:09+00:00,2026-02-17 19:44:55+00:00,,worksbyfriday,closed,1
3984,2026-02-17 18:44:52+00:00,2026-02-17 19:44:53+00:00,,worksbyfriday,closed,1
3983,2026-02-17 18:39:31+00:00,2026-02-17 19:44:51+00:00,,worksbyfriday,closed,1
3982,2026-02-17 18:32:56+00:00,2026-02-17 19:44:50+00:00,,worksbyfriday,closed,1
3981,2026-02-17 18:30:11+00:00,2026-02-17 19:44:48+00:00,,worksbyfriday,closed,1
3980,2026-02-17 18:23:16+00:00,2026-02-17 19:44:46+00:00,,worksbyfriday,closed,1
3979,2026-02-17 18:21:00+00:00,2026-02-17 19:44:44+00:00,,worksbyfriday,closed,1
3978,2026-02-17 18:14:31+00:00,2026-02-17 19:44:43+00:00,,worksbyfriday,closed,3
3977,2026-02-17 13:53:42+00:00,2026-02-17 13:58:30+00:00,,annaLiksomething,closed,0
3976,2026-02-16 00:55:20+00:00,2026-02-27 18:04:46+00:00,,karthiksai109,closed,1
3974,2026-02-13 11:48:34+00:00,2026-02-13 13:05:29+00:00,,Mr-Neutr0n,closed,2
3973,2026-02-12 01:19:31+00:00,,,TomJGooding,open,1
3972,2026-02-11 22:11:17+00:00,2026-02-11 22:11:27+00:00,2026-02-11 22:11:26+00:00,willmcgugan,closed,1
3971,2026-02-11 21:45:55+00:00,,,TomJGooding,open,1
3970,2026-02-10 19:45:08+00:00,2026-02-11 16:46:54+00:00,,reteps,closed,2
3969,2026-02-10 19:45:00+00:00,2026-02-11 16:46:49+00:00,,reteps,closed,2
3968,2026-02-10 19:44:51+00:00,2026-02-11 16:46:42+00:00,,reteps,closed,2
3967,2026-02-09 19:46:18+00:00,2026-03-11 19:28:14+00:00,,daniel7an,closed,1
3966,2026-02-09 16:41:55+00:00,,,ama228,open,0
3964,2026-02-08 23:00:54+00:00,2026-02-11 16:45:51+00:00,,veeceey,closed,0
3963,2026-02-08 02:26:52+00:00,2026-02-09 22:13:46+00:00,,veeceey,closed,1
3962,2026-02-08 02:16:37+00:00,2026-02-11 16:45:45+00:00,,veeceey,closed,1
3961,2026-02-08 02:03:45+00:00,2026-02-11 16:45:41+00:00,,veeceey,closed,2
3959,2026-02-08 01:11:23+00:00,2026-02-11 16:45:30+00:00,,veeceey,closed,2
3956,2026-02-02 23:00:39+00:00,,,jquast,open,1
3954,2026-02-01 17:27:36+00:00,,,satyendhran,open,0
3953,2026-02-01 15:01:14+00:00,2026-02-01 16:19:21+00:00,2026-02-01 16:19:21+00:00,willmcgugan,closed,1
3952,2026-02-01 12:10:19+00:00,2026-02-01 15:02:09+00:00,,ChimdumebiNebolisa,closed,1
3949,2026-01-30 02:55:15+00:00,,,wingding12,open,1
3944,2026-01-24 21:33:50+00:00,2026-01-24 21:40:01+00:00,2026-01-24 21:40:01+00:00,willmcgugan,closed,1
3942,2026-01-24 12:01:54+00:00,2026-01-24 12:16:30+00:00,2026-01-24 12:16:30+00:00,willmcgugan,closed,1
3941,2026-01-24 06:53:15+00:00,2026-04-11 09:07:46+00:00,2026-04-11 09:07:46+00:00,SudheerKovvuru,closed,0
3940,2026-01-24 02:39:29+00:00,2026-01-24 12:21:10+00:00,,SudheerKovvuru,closed,0
3939,2026-01-23 15:38:39+00:00,2026-01-23 15:42:48+00:00,2026-01-23 15:42:48+00:00,willmcgugan,closed,1
3938,2026-01-23 15:04:54+00:00,2026-01-23 15:33:08+00:00,2026-01-23 15:33:08+00:00,willmcgugan,closed,1
3937,2026-01-23 13:31:25+00:00,2026-01-23 13:44:59+00:00,2026-01-23 13:44:59+00:00,willmcgugan,closed,1
3936,2026-01-23 13:15:12+00:00,2026-01-23 13:15:21+00:00,,pgoslatara,closed,0
3935,2026-01-23 11:21:22+00:00,2026-01-23 11:31:32+00:00,2026-01-23 11:31:32+00:00,willmcgugan,closed,1
3934,2026-01-22 16:56:20+00:00,2026-01-22 17:03:12+00:00,2026-01-22 17:03:12+00:00,willmcgugan,closed,1
3933,2026-01-22 16:22:10+00:00,2026-01-22 16:30:30+00:00,,willmcgugan,closed,1
3932,2026-01-20 21:25:51+00:00,2026-01-22 16:11:37+00:00,,ncanceill,closed,0
3930,2026-01-20 15:52:10+00:00,2026-01-22 16:08:08+00:00,2026-01-22 16:08:08+00:00,willmcgugan,closed,1
3928,2026-01-15 16:31:59+00:00,,,jackrosenthal,open,0
3925,2026-01-08 11:56:30+00:00,2026-01-23 15:58:23+00:00,,SudheerKovvuru,closed,0
3924,2026-01-05 08:35:17+00:00,2026-01-22 16:29:53+00:00,,Rushi-Balapure,closed,1
3923,2025-12-31 16:20:21+00:00,2026-01-22 16:36:17+00:00,2026-01-22 16:36:17+00:00,KonstantinKulagin,closed,0
3921,2025-12-29 11:25:04+00:00,2026-01-22 16:36:46+00:00,,hxyooooo,closed,1
3919,2025-12-25 05:27:20+00:00,2025-12-25 09:31:38+00:00,,MD-Mushfiqur123,closed,0
3918,2025-12-24 18:35:53+00:00,2026-01-22 17:02:48+00:00,,Faheem12005,closed,1
3916,2025-12-17 17:31:58+00:00,,,im-anishraj,open,0
3915,2025-12-17 12:42:47+00:00,2026-01-22 17:07:02+00:00,2026-01-22 17:07:02+00:00,joelostblom,closed,0
3914,2025-12-14 16:56:33+00:00,2026-01-22 17:08:52+00:00,,ye-soling,closed,2
3913,2025-12-13 08:00:43+00:00,2026-01-23 10:35:51+00:00,,Nabeelshar,closed,1
3912,2025-12-11 16:12:38+00:00,2025-12-11 19:00:20+00:00,,RamanaMenda,closed,0
3911,2025-12-08 12:05:52+00:00,,,youknowone,open,1
3910,2025-12-08 08:37:43+00:00,2026-01-22 17:21:29+00:00,,GdoongMathew,closed,1
3909,2025-12-07 16:04:07+00:00,2026-01-23 16:39:08+00:00,,MirrorDNA-Reflection-Protocol,closed,0
3908,2025-12-05 13:07:43+00:00,2025-12-05 13:13:33+00:00,,K2,closed,1
3906,2025-12-04 12:54:44+00:00,2026-01-22 17:30:43+00:00,2026-01-22 17:30:43+00:00,Kigstn,closed,1
3905,2025-12-03 21:52:48+00:00,2026-01-23 10:36:23+00:00,2026-01-23 10:36:23+00:00,TomerYogev,closed,3
3902,2025-12-02 22:38:41+00:00,2026-01-22 17:55:48+00:00,,lesliehc,closed,1
3901,2025-12-02 04:42:57+00:00,2026-01-22 17:52:31+00:00,,SergeyNoritsyn,closed,1
3900,2025-12-01 08:15:37+00:00,2026-01-23 10:36:53+00:00,,zephyr-i,closed,1
3899,2025-11-30 21:00:43+00:00,2026-01-23 11:44:45+00:00,,lesliehc,closed,1
3898,2025-11-29 21:04:24+00:00,,,AmmarAbdelhalem,open,0
3895,2025-11-24 01:30:18+00:00,2025-11-24 01:30:53+00:00,,ZZGG2,closed,0
3894,2025-11-23 13:47:06+00:00,2026-01-23 11:47:26+00:00,2026-01-23 11:47:26+00:00,SebastianSpeitel,closed,0
3893,2025-11-20 12:14:35+00:00,2025-11-20 12:25:33+00:00,,ZZGG2,closed,1
3890,2025-11-18 14:45:13+00:00,2026-01-22 22:21:29+00:00,,hendrixxxh,closed,0
3889,2025-11-18 14:44:29+00:00,2026-01-22 22:21:55+00:00,,hendrixxxh,closed,0
3886,2025-11-15 06:43:30+00:00,2026-01-22 22:24:08+00:00,,yvoryk,closed,2
3885,2025-11-13 19:50:17+00:00,2025-11-13 19:51:07+00:00,,nicolgoder,closed,0
3882,2025-11-13 07:17:55+00:00,2026-01-23 11:48:30+00:00,2026-01-23 11:48:30+00:00,mgedmin,closed,1
3879,2025-11-04 01:12:34+00:00,2026-01-23 11:51:51+00:00,2026-01-23 11:51:51+00:00,AttackThwarter,closed,0
3873,2025-10-23 14:08:33+00:00,2026-01-23 11:54:01+00:00,,dimitriskres,closed,1
3872,2025-10-22 05:10:34+00:00,2025-10-22 09:52:51+00:00,,yvoryk,closed,1
3870,2025-10-21 00:39:17+00:00,2026-01-23 11:54:33+00:00,,Denglish66,closed,0
3869,2025-10-21 00:15:32+00:00,2026-01-23 11:56:03+00:00,,imaanedhi,closed,1
3863,2025-10-11 05:39:42+00:00,2026-01-23 11:57:03+00:00,,Anandraj-prog,closed,1
3862,2025-10-09 12:04:22+00:00,2025-10-09 13:57:45+00:00,2025-10-09 13:57:45+00:00,GeroZayas,closed,1
3861,2025-10-09 07:46:20+00:00,2025-10-09 08:49:21+00:00,2025-10-09 08:49:21+00:00,willmcgugan,closed,6
3858,2025-10-04 00:33:53+00:00,2025-10-04 09:18:58+00:00,,Nicolara10,closed,5
3857,2025-09-30 00:44:06+00:00,2026-01-23 11:59:51+00:00,,troysis,closed,2
3856,2025-09-28 09:30:56+00:00,2025-09-28 09:42:03+00:00,,EhsanLS,closed,2
3855,2025-09-26 23:12:24+00:00,2025-09-28 09:43:21+00:00,,sunnynguyen-ai,closed,1
3853,2025-09-25 08:16:24+00:00,2026-01-23 11:57:51+00:00,,pkusnail,closed,1
3852,2025-09-24 07:52:20+00:00,2025-12-22 19:45:02+00:00,,gumuncle,closed,0
3848,2025-09-17 07:46:24+00:00,2026-01-23 12:00:20+00:00,,royiro10,closed,0
3845,2025-09-10 10:22:29+00:00,2026-04-11 02:40:51+00:00,2026-04-11 02:40:51+00:00,akx,closed,4
3844,2025-09-08 19:42:46+00:00,2025-09-09 18:41:10+00:00,,Multimabo,closed,2
3843,2025-09-07 17:40:09+00:00,2026-01-23 13:31:36+00:00,,KiGamji,closed,1
3839,2025-09-06 07:29:03+00:00,2026-01-24 18:13:29+00:00,,kmvanbrunt,closed,1
3830,2025-08-22 09:59:23+00:00,2026-01-23 15:40:28+00:00,,djvolz,closed,0
3829,2025-08-20 02:36:12+00:00,2026-01-23 15:42:10+00:00,,pwnfo,closed,1
3828,2025-08-14 18:06:42+00:00,2026-01-24 12:18:29+00:00,2026-01-24 12:18:28+00:00,RyanSharafuddin,closed,0
3824,2025-08-11 18:25:07+00:00,,,nilnor,open,0
3823,2025-08-07 14:04:28+00:00,,,Stranger-Jie,open,3
3822,2025-08-07 11:31:52+00:00,2026-03-25 21:58:42+00:00,,talsaiag,closed,1
3818,2025-08-03 03:57:22+00:00,,,skyblue6688,open,0
3811,2025-07-28 03:56:29+00:00,,,sam31046,open,2
3808,2025-07-25 07:23:08+00:00,2025-07-25 07:27:47+00:00,2025-07-25 07:27:47+00:00,willmcgugan,closed,1
3807,2025-07-25 06:55:40+00:00,2025-07-25 06:58:18+00:00,2025-07-25 06:58:18+00:00,willmcgugan,closed,1
3805,2025-07-24 16:24:11+00:00,,,AetherBreaker,open,0
3798,2025-07-16 17:20:03+00:00,2025-07-16 18:59:23+00:00,,tinker495,closed,1
3793,2025-07-14 18:35:06+00:00,2026-04-12 11:50:42+00:00,,kmvanbrunt,closed,1
3791,2025-07-12 16:25:00+00:00,,,MaddyGuthridge,open,1
3789,2025-07-07 18:39:14+00:00,,,alcarney,open,0
3788,2025-07-07 15:43:21+00:00,,,mudiko,open,3
3783,2025-06-24 12:34:54+00:00,2025-06-24 12:48:28+00:00,2025-06-24 12:48:28+00:00,willmcgugan,closed,1
3782,2025-06-23 15:39:57+00:00,2025-06-23 16:22:05+00:00,2025-06-23 16:22:05+00:00,willmcgugan,closed,1
3777,2025-06-20 20:24:13+00:00,2025-06-23 16:02:53+00:00,2025-06-23 16:02:53+00:00,willmcgugan,closed,5
3776,2025-06-20 14:37:23+00:00,2025-06-20 14:52:52+00:00,2025-06-20 14:52:52+00:00,zackzack38,closed,0
3775,2025-06-19 15:30:33+00:00,2025-06-19 19:44:54+00:00,2025-06-19 19:44:54+00:00,willmcgugan,closed,1
3773,2025-06-19 10:28:57+00:00,,,liblaf,open,0
